id,adresse IP,site,temps passé
12995,132.34.226.141,WeChat,82.9
12996,132.34.226.141,LinkedIn,179.7
12997,132.34.226.141,YouTube,554.8
12998,132.34.226.141,QQ,35.4
12999,228.90.135.171,Twitch,114.5
13000,228.90.135.171,QQ,23.3
13001,1.252.67.21,Pinterest,79.3
13002,1.252.67.21,YouTube,507.0
13003,1.252.67.21,TikTok,209.5
13004,170.182.1.186,Twitch,70.3
13005,170.182.1.186,Instagram,287.3
13006,170.182.1.186,X,154.7
13007,170.182.1.186,Facebook Messenger,162.2
13008,170.182.1.186,YouTube,570.5
13009,170.182.1.186,Pinterest,60.0
13010,170.182.1.186,QQ,40.4
13011,241.44.192.223,X,138.6
13012,241.44.192.223,TikTok,367.7
13013,241.44.192.223,WeChat,133.8
13014,241.44.192.223,Snapchat,178.9
13015,241.44.192.223,LinkedIn,172.5
13016,241.44.192.223,YouTube,568.4
13017,241.44.192.223,Twitch,101.1
13018,241.44.192.223,Instagram,195.5
13019,157.165.202.102,Facebook,115.1
13020,157.165.202.102,WhatsApp,376.7
13021,157.165.202.102,LinkedIn,125.8
13022,157.165.202.102,QQ,59.0
13023,157.165.202.102,Instagram,200.5
13024,77.94.107.125,WhatsApp,352.1
13025,77.94.107.125,Pinterest,119.6
13026,77.94.107.125,Facebook Messenger,207.6
13027,102.254.58.61,Snapchat,293.3
13028,102.254.58.61,YouTube,562.7
13029,249.90.79.171,WhatsApp,274.0
13030,249.90.79.171,Facebook,205.2
13031,249.90.79.171,Instagram,470.2
13032,202.85.121.139,LinkedIn,179.9
13033,202.85.121.139,YouTube,481.5
13034,202.85.121.139,WeChat,110.2
13035,56.237.12.183,Instagram,308.1
13036,56.237.12.183,TikTok,204.6
13037,38.82.19.79,Instagram,237.3
13038,38.82.19.79,TikTok,314.5
13039,38.82.19.79,X,71.1
13040,201.68.7.208,Twitch,92.4
13041,201.68.7.208,QQ,30.7
13042,201.68.7.208,LinkedIn,134.1
13043,201.68.7.208,WeChat,58.9
13044,201.68.7.208,Snapchat,162.8
13045,201.68.7.208,Facebook Messenger,104.1
13046,156.150.240.118,Pinterest,113.0
13047,84.241.88.251,WeChat,146.0
13048,164.77.206.210,LinkedIn,197.8
13049,164.77.206.210,Instagram,382.0
13050,164.77.206.210,WeChat,78.8
13051,164.77.206.210,Facebook,138.0
13052,164.77.206.210,YouTube,537.9
13053,91.80.81.236,Twitch,58.6
13054,137.110.232.78,QQ,51.1
13055,137.110.232.78,TikTok,74.7
13056,137.110.232.78,YouTube,536.8
13057,137.110.232.78,Instagram,320.6
13058,137.110.232.78,Facebook Messenger,205.0
13059,137.110.232.78,WeChat,100.2
13060,22.108.66.198,Facebook Messenger,98.8
13061,22.108.66.198,YouTube,356.4
13062,159.9.62.57,X,176.5
13063,159.9.62.57,Facebook Messenger,134.2
13064,159.9.62.57,YouTube,366.5
13065,159.9.62.57,LinkedIn,184.6
13066,159.9.62.57,WhatsApp,216.2
13067,225.94.87.85,Pinterest,62.2
13068,174.175.177.201,X,106.0
13069,174.175.177.201,Pinterest,80.8
13070,225.226.159.9,Instagram,175.2
13071,225.226.159.9,TikTok,297.8
13072,225.226.159.9,Pinterest,106.0
13073,225.226.159.9,YouTube,597.3
13074,225.226.159.9,LinkedIn,100.1
13075,225.226.159.9,WhatsApp,514.3
13076,14.4.106.187,YouTube,424.0
13077,14.4.106.187,QQ,54.7
13078,14.4.106.187,WeChat,89.7
13079,14.4.106.187,Snapchat,373.8
13080,14.4.106.187,TikTok,227.4
13081,14.4.106.187,WhatsApp,382.7
13082,137.104.12.231,WhatsApp,265.5
13083,137.104.12.231,QQ,52.3
13084,137.104.12.231,Facebook Messenger,191.7
13085,137.104.12.231,Twitch,94.4
13086,137.104.12.231,LinkedIn,161.1
13087,99.217.3.37,Instagram,360.0
13088,99.217.3.37,Twitch,90.8
13089,99.217.3.37,YouTube,602.1
13090,99.217.3.37,Facebook Messenger,185.5
13091,99.217.3.37,Pinterest,98.0
13092,99.217.3.37,LinkedIn,159.8
13093,12.72.42.153,TikTok,249.3
13094,12.72.42.153,LinkedIn,212.2
13095,130.245.35.48,TikTok,386.4
13096,130.245.35.48,LinkedIn,149.9
13097,130.245.35.48,QQ,73.7
13098,130.245.35.48,YouTube,364.8
13099,130.245.35.48,Instagram,380.7
13100,229.66.128.15,YouTube,239.5
13101,229.66.128.15,WhatsApp,330.5
13102,229.66.128.15,TikTok,369.3
13103,229.66.128.15,Facebook Messenger,157.5
13104,229.66.128.15,WeChat,122.1
13105,229.66.128.15,Instagram,353.5
13106,229.66.128.15,Twitch,131.0
13107,55.97.83.82,YouTube,540.2
13108,55.97.83.82,TikTok,291.1
13109,23.9.118.22,Snapchat,310.9
13110,23.9.118.22,Facebook Messenger,87.3
13111,219.0.38.162,Pinterest,87.6
13112,219.0.38.162,YouTube,477.9
13113,219.0.38.162,Twitch,99.2
13114,219.0.38.162,Facebook Messenger,51.7
13115,219.0.38.162,TikTok,384.1
13116,219.0.38.162,Snapchat,292.7
13117,168.166.66.155,WhatsApp,245.6
13118,168.166.66.155,X,158.1
13119,168.166.66.155,WeChat,141.2
13120,168.166.66.155,Pinterest,80.6
13121,168.166.66.155,Twitch,81.3
13122,168.166.66.155,QQ,51.0
13123,232.17.212.37,WhatsApp,291.6
13124,92.2.219.253,WhatsApp,275.9
13125,220.221.95.95,LinkedIn,135.2
13126,220.221.95.95,Instagram,276.4
13127,220.221.95.95,Twitch,91.3
13128,220.221.95.95,Snapchat,289.6
13129,220.221.95.95,Facebook Messenger,189.3
13130,220.221.95.95,WeChat,120.1
13131,113.228.140.0,TikTok,295.3
13132,113.228.140.0,WeChat,95.9
13133,113.228.140.0,Pinterest,97.2
13134,113.228.140.0,Facebook,166.2
13135,113.228.140.0,LinkedIn,128.1
13136,113.228.140.0,YouTube,725.4
13137,113.228.140.0,Instagram,428.8
13138,113.228.140.0,Twitch,78.8
13139,132.225.107.164,WeChat,104.7
13140,13.171.10.195,Instagram,315.0
13141,163.91.95.120,Snapchat,200.8
13142,163.91.95.120,Pinterest,97.1
13143,163.91.95.120,Facebook,110.9
13144,163.91.95.120,LinkedIn,204.6
13145,159.208.15.90,WeChat,74.3
13146,159.208.15.90,WhatsApp,350.2
13147,159.208.15.90,Pinterest,92.3
13148,159.208.15.90,X,122.7
13149,159.208.15.90,Facebook Messenger,212.0
13150,20.224.99.105,Pinterest,110.3
13151,20.224.99.105,Twitch,85.9
13152,20.224.99.105,Facebook Messenger,149.5
13153,20.224.99.105,WhatsApp,276.0
13154,20.224.99.105,LinkedIn,164.4
13155,20.224.99.105,Snapchat,214.4
13156,226.50.32.67,X,98.3
13157,226.50.32.67,Twitch,144.3
13158,226.50.32.67,Instagram,289.2
13159,226.50.32.67,WhatsApp,361.4
13160,226.50.32.67,TikTok,314.2
13161,17.35.229.137,Snapchat,222.2
13162,3.102.33.53,Snapchat,314.6
13163,3.102.33.53,WeChat,102.5
13164,3.102.33.53,Facebook Messenger,109.0
13165,3.102.33.53,QQ,52.4
13166,3.102.33.53,TikTok,316.5
13167,3.102.33.53,LinkedIn,127.1
13168,3.102.33.53,YouTube,455.5
13169,250.57.99.45,Facebook,149.0
13170,250.57.99.45,Twitch,104.6
13171,250.57.99.45,WeChat,75.7
13172,106.196.15.179,WhatsApp,300.3
13173,106.196.15.179,Facebook,181.0
13174,30.129.116.21,Instagram,275.7
13175,30.129.116.21,Facebook Messenger,155.7
13176,30.129.116.21,Facebook,155.7
13177,30.129.116.21,TikTok,225.1
13178,30.129.116.21,X,213.5
13179,30.129.116.21,QQ,51.1
13180,30.129.116.21,LinkedIn,198.5
13181,226.121.124.85,Pinterest,132.7
13182,226.121.124.85,Twitch,81.1
13183,226.121.124.85,WeChat,106.2
13184,226.121.124.85,Snapchat,234.5
13185,226.121.124.85,TikTok,431.5
13186,226.121.124.85,Instagram,343.4
13187,56.214.178.22,Snapchat,269.1
13188,56.214.178.22,WeChat,89.2
13189,56.214.178.22,LinkedIn,163.8
13190,232.177.230.88,X,153.9
13191,232.177.230.88,Snapchat,250.1
13192,232.177.230.88,Twitch,103.9
13193,232.177.230.88,WhatsApp,328.4
13194,232.177.230.88,YouTube,546.7
13195,232.177.230.88,Facebook Messenger,158.3
13196,232.177.230.88,WeChat,43.9
13197,156.125.8.136,Facebook,174.5
13198,156.125.8.136,YouTube,574.4
13199,28.143.18.133,WhatsApp,340.6
13200,28.143.18.133,Twitch,82.3
13201,28.143.18.133,Snapchat,275.0
13202,28.143.18.133,YouTube,463.5
13203,28.143.18.133,TikTok,308.0
13204,180.251.177.44,TikTok,361.6
13205,180.251.177.44,Snapchat,272.8
13206,180.251.177.44,WhatsApp,445.9
13207,180.251.177.44,Twitch,111.3
13208,6.118.157.25,X,150.3
13209,6.118.157.25,Pinterest,114.2
13210,100.32.48.197,LinkedIn,207.0
13211,100.32.48.197,WhatsApp,161.0
13212,40.235.167.49,Twitch,142.1
13213,40.235.167.49,Pinterest,71.4
13214,40.235.167.49,WeChat,79.6
13215,40.235.167.49,QQ,69.8
13216,40.235.167.49,LinkedIn,135.5
13217,40.235.167.49,Facebook,189.1
13218,235.227.229.135,QQ,66.4
13219,235.227.229.135,WeChat,121.7
13220,103.224.43.55,QQ,17.4
13221,103.224.43.55,LinkedIn,169.1
13222,103.224.43.55,TikTok,266.5
13223,103.224.43.55,X,181.0
13224,103.224.43.55,Pinterest,121.3
13225,103.224.43.55,WhatsApp,202.2
13226,103.224.43.55,Snapchat,350.4
13227,103.224.43.55,Facebook Messenger,156.6
13228,198.112.152.90,WeChat,88.3
13229,235.74.58.145,Facebook,157.2
13230,235.74.58.145,Facebook Messenger,102.9
13231,235.74.58.145,WeChat,152.1
13232,235.74.58.145,WhatsApp,288.4
13233,235.74.58.145,LinkedIn,186.0
13234,235.74.58.145,Pinterest,88.4
13235,235.74.58.145,Twitch,108.3
13236,235.74.58.145,TikTok,294.6
13237,51.192.210.179,TikTok,304.0
13238,51.192.210.179,Facebook,116.4
13239,51.192.210.179,WhatsApp,283.4
13240,51.192.210.179,Instagram,202.8
13241,51.192.210.179,Facebook Messenger,111.7
13242,51.192.210.179,QQ,13.2
13243,111.24.80.2,Twitch,154.6
13244,111.24.80.2,Snapchat,234.9
13245,111.24.80.2,Facebook,186.4
13246,111.24.80.2,YouTube,434.1
13247,111.24.80.2,QQ,55.0
13248,111.24.80.2,WeChat,151.5
13249,111.24.80.2,Facebook Messenger,220.3
13250,124.74.194.141,Pinterest,118.3
13251,129.211.33.232,Facebook Messenger,189.3
13252,129.211.33.232,Twitch,118.6
13253,129.211.33.232,Snapchat,175.6
13254,129.211.33.232,TikTok,317.3
13255,129.211.33.232,Instagram,438.9
13256,129.211.33.232,QQ,76.9
13257,129.211.33.232,Pinterest,98.7
13258,20.83.214.244,X,157.8
13259,20.83.214.244,Pinterest,52.8
13260,20.83.214.244,WhatsApp,321.9
13261,20.83.214.244,Snapchat,221.1
13262,20.83.214.244,TikTok,240.5
13263,189.229.98.235,WeChat,109.7
13264,189.229.98.235,Snapchat,307.2
13265,189.229.98.235,X,200.5
13266,189.229.98.235,LinkedIn,192.6
13267,189.229.98.235,Facebook,94.5
13268,189.229.98.235,Facebook Messenger,105.4
13269,87.156.69.63,TikTok,332.4
13270,87.156.69.63,Twitch,79.7
13271,87.156.69.63,Snapchat,244.1
13272,87.156.69.63,QQ,54.6
13273,172.97.212.65,Facebook Messenger,174.5
13274,172.97.212.65,Facebook,111.8
13275,172.97.212.65,Snapchat,98.1
13276,172.97.212.65,Twitch,107.4
13277,172.97.212.65,X,179.0
13278,172.97.212.65,TikTok,453.3
13279,172.97.212.65,QQ,35.1
13280,97.52.47.140,Snapchat,234.5
13281,97.52.47.140,LinkedIn,160.9
13282,97.52.47.140,TikTok,310.8
13283,97.52.47.140,Twitch,120.5
13284,97.52.47.140,Facebook Messenger,177.1
13285,249.103.82.235,WeChat,132.7
13286,249.103.82.235,TikTok,264.4
13287,249.103.82.235,Pinterest,106.8
13288,249.103.82.235,Instagram,348.9
13289,249.103.82.235,Twitch,123.6
13290,108.252.133.97,Pinterest,138.4
13291,108.252.133.97,TikTok,249.9
13292,108.252.133.97,Facebook Messenger,114.8
13293,108.252.133.97,Twitch,33.3
13294,108.252.133.97,WhatsApp,308.9
13295,108.252.133.97,Facebook,144.6
13296,172.253.183.48,Pinterest,94.8
13297,172.253.183.48,TikTok,275.9
13298,172.253.183.48,YouTube,468.1
13299,143.160.117.235,Facebook Messenger,142.7
13300,143.160.117.235,X,171.6
13301,201.242.78.117,YouTube,407.2
13302,201.242.78.117,WeChat,112.2
13303,201.242.78.117,Facebook,92.5
13304,201.242.78.117,Pinterest,60.7
13305,201.242.78.117,Twitch,140.3
13306,201.242.78.117,TikTok,320.3
13307,201.242.78.117,X,132.2
13308,201.242.78.117,Instagram,318.1
13309,171.220.118.25,YouTube,702.5
13310,211.31.56.112,Facebook Messenger,91.7
13311,211.31.56.112,WhatsApp,297.9
13312,211.31.56.112,LinkedIn,180.3
13313,211.31.56.112,QQ,34.7
13314,211.31.56.112,Twitch,130.0
13315,211.31.56.112,TikTok,233.0
13316,129.207.218.157,QQ,41.2
13317,129.207.218.157,YouTube,683.4
13318,129.207.218.157,Pinterest,137.5
13319,129.207.218.157,Facebook,161.5
13320,129.207.218.157,X,151.5
13321,129.207.218.157,Snapchat,167.6
13322,129.207.218.157,WeChat,147.9
13323,6.92.247.0,Instagram,301.4
13324,6.92.247.0,Facebook Messenger,126.5
13325,6.92.247.0,WhatsApp,289.4
13326,6.92.247.0,X,111.6
13327,6.92.247.0,Snapchat,213.6
13328,6.92.247.0,Pinterest,174.2
13329,6.92.247.0,Twitch,122.0
13330,171.190.39.148,Twitch,114.7
13331,171.190.39.148,Instagram,273.9
13332,171.190.39.148,Facebook Messenger,184.4
13333,171.190.39.148,YouTube,457.9
13334,171.190.39.148,TikTok,447.8
13335,171.190.39.148,Snapchat,209.5
13336,171.190.39.148,LinkedIn,146.9
13337,142.187.237.19,X,139.0
13338,142.187.237.19,WeChat,101.0
13339,142.187.237.19,Instagram,308.7
13340,228.115.219.16,Facebook Messenger,182.5
13341,228.115.219.16,Pinterest,105.2
13342,228.115.219.16,QQ,58.3
13343,228.115.219.16,YouTube,370.1
13344,228.115.219.16,LinkedIn,171.9
13345,228.115.219.16,Snapchat,254.8
13346,218.111.96.91,Facebook Messenger,149.6
13347,218.111.96.91,Facebook,202.2
13348,218.111.96.91,TikTok,242.0
13349,202.246.97.68,WeChat,50.5
13350,202.246.97.68,TikTok,221.3
13351,221.220.9.139,Twitch,116.7
13352,221.220.9.139,WhatsApp,280.2
13353,144.173.192.182,WeChat,50.7
13354,144.173.192.182,Facebook Messenger,199.8
13355,144.173.192.182,Instagram,337.8
13356,144.173.192.182,TikTok,248.1
13357,75.45.172.240,Snapchat,103.9
13358,75.45.172.240,Facebook,141.1
13359,75.45.172.240,LinkedIn,106.3
13360,75.45.172.240,Instagram,160.9
13361,75.45.172.240,WeChat,75.1
13362,75.45.172.240,X,101.5
13363,75.45.172.240,WhatsApp,341.9
13364,189.139.52.79,Facebook Messenger,126.1
13365,189.139.52.79,QQ,63.2
13366,189.139.52.79,YouTube,365.2
13367,189.139.52.79,X,117.3
13368,189.139.52.79,Instagram,197.8
13369,189.139.52.79,Facebook,131.4
13370,189.139.52.79,WeChat,109.5
13371,175.123.106.215,Facebook Messenger,140.4
13372,175.123.106.215,X,174.2
13373,175.123.106.215,Snapchat,273.4
13374,175.123.106.215,Facebook,129.5
13375,175.123.106.215,WeChat,114.5
13376,94.160.71.181,LinkedIn,153.4
13377,94.160.71.181,Facebook,150.6
13378,94.160.71.181,WhatsApp,390.4
13379,94.160.71.181,X,134.0
13380,94.160.71.181,WeChat,91.3
13381,94.160.71.181,Instagram,250.9
13382,162.176.97.71,TikTok,349.1
13383,162.176.97.71,Facebook Messenger,129.4
13384,162.176.97.71,X,205.0
13385,162.176.97.71,Instagram,300.8
13386,162.176.97.71,Twitch,37.9
13387,162.176.97.71,YouTube,522.3
13388,221.27.160.43,WhatsApp,160.0
13389,221.27.160.43,YouTube,533.2
13390,221.27.160.43,QQ,74.3
13391,221.27.160.43,TikTok,300.3
13392,221.27.160.43,Facebook Messenger,129.9
13393,221.27.160.43,X,155.6
13394,221.27.160.43,Twitch,113.0
13395,215.100.70.92,Instagram,274.9
13396,215.100.70.92,Facebook,108.0
13397,215.100.70.92,Facebook Messenger,149.5
13398,215.100.70.92,Pinterest,129.6
13399,215.100.70.92,TikTok,372.0
13400,215.100.70.92,WhatsApp,294.3
13401,215.100.70.92,X,117.1
13402,215.100.70.92,YouTube,396.0
13403,203.105.254.68,Snapchat,307.0
13404,203.105.254.68,WhatsApp,348.5
13405,203.105.254.68,Facebook,132.5
13406,203.105.254.68,Instagram,346.5
13407,203.105.254.68,Pinterest,115.9
13408,203.105.254.68,X,161.9
13409,203.105.254.68,Facebook Messenger,73.0
13410,195.112.70.186,WhatsApp,207.8
13411,195.112.70.186,Instagram,232.8
13412,195.112.70.186,Snapchat,151.4
13413,195.112.70.186,TikTok,365.6
13414,195.112.70.186,YouTube,572.8
13415,195.112.70.186,WeChat,131.0
13416,157.180.142.235,WhatsApp,309.8
13417,157.180.142.235,TikTok,352.8
13418,228.221.73.198,Facebook,193.8
13419,228.221.73.198,Snapchat,225.7
13420,228.221.73.198,Facebook Messenger,125.4
13421,161.221.63.184,X,120.2
13422,122.6.224.143,Instagram,458.7
13423,122.6.224.143,LinkedIn,158.7
13424,122.6.224.143,WhatsApp,373.6
13425,122.6.224.143,Pinterest,112.6
13426,122.6.224.143,TikTok,259.4
13427,122.6.224.143,Twitch,100.2
13428,122.6.224.143,Snapchat,251.4
13429,182.246.177.156,Pinterest,146.4
13430,182.246.177.156,YouTube,341.8
13431,182.246.177.156,Snapchat,251.3
13432,182.246.177.156,Instagram,256.5
13433,182.246.177.156,TikTok,276.4
13434,182.246.177.156,Facebook,197.9
13435,182.246.177.156,X,113.2
13436,182.246.177.156,WhatsApp,228.9
13437,237.141.251.74,WhatsApp,357.5
13438,38.85.9.176,X,105.7
13439,38.85.9.176,Facebook,172.6
13440,38.85.9.176,YouTube,439.9
13441,38.85.9.176,Twitch,43.9
13442,38.85.9.176,TikTok,161.3
13443,38.85.9.176,Instagram,399.4
13444,38.85.9.176,QQ,31.4
13445,38.85.9.176,WhatsApp,274.1
13446,203.0.229.167,Facebook,216.7
13447,203.0.229.167,YouTube,528.9
13448,203.0.229.167,LinkedIn,197.0
13449,203.0.229.167,TikTok,296.2
13450,25.236.83.123,YouTube,482.5
13451,25.236.83.123,WeChat,97.5
13452,25.236.83.123,WhatsApp,387.5
13453,25.236.83.123,LinkedIn,146.6
13454,25.236.83.123,Facebook Messenger,181.4
13455,79.204.193.106,Pinterest,123.1
13456,79.204.193.106,QQ,46.0
13457,46.197.66.189,LinkedIn,92.2
13458,46.197.66.189,Instagram,216.9
13459,46.197.66.189,YouTube,678.9
13460,46.197.66.189,Snapchat,237.9
13461,46.197.66.189,Twitch,113.9
13462,46.197.66.189,WeChat,96.0
13463,46.197.66.189,Facebook Messenger,150.0
13464,46.197.66.189,X,195.4
13465,47.28.81.192,X,131.7
13466,47.28.81.192,WeChat,93.1
13467,47.28.81.192,Snapchat,273.5
13468,47.28.81.192,Instagram,237.1
13469,47.28.81.192,QQ,52.1
13470,163.199.101.81,Instagram,431.8
13471,163.199.101.81,WeChat,52.5
13472,163.199.101.81,Twitch,57.8
13473,163.199.101.81,X,216.1
13474,111.165.132.206,Facebook,87.7
13475,111.165.132.206,QQ,46.8
13476,111.165.132.206,Facebook Messenger,108.5
13477,52.89.61.233,QQ,57.6
13478,52.89.61.233,TikTok,269.0
13479,52.89.61.233,Facebook Messenger,127.0
13480,28.192.106.230,WhatsApp,298.5
13481,115.245.2.235,LinkedIn,211.0
13482,212.201.41.112,Facebook,173.0
13483,212.201.41.112,Snapchat,242.6
13484,62.249.122.212,LinkedIn,125.0
13485,62.249.122.212,Instagram,278.7
13486,62.249.122.212,YouTube,543.6
13487,62.249.122.212,Pinterest,113.4
13488,62.249.122.212,Facebook,77.3
13489,232.37.51.55,WeChat,104.6
13490,232.37.51.55,Instagram,340.9
13491,232.37.51.55,YouTube,668.4
13492,232.37.51.55,Snapchat,229.0
13493,232.37.51.55,LinkedIn,163.7
13494,232.37.51.55,WhatsApp,188.5
13495,232.37.51.55,X,188.3
13496,232.37.51.55,QQ,27.7
13497,238.225.25.186,Twitch,115.4
13498,238.225.25.186,Facebook Messenger,167.2
13499,238.225.25.186,WhatsApp,291.5
13500,238.225.25.186,Facebook,182.4
13501,46.17.221.137,Facebook Messenger,146.7
13502,46.17.221.137,Instagram,264.6
13503,46.17.221.137,WeChat,86.4
13504,165.220.79.76,Facebook,229.3
13505,165.220.79.76,QQ,39.5
13506,165.220.79.76,Instagram,328.2
13507,165.220.79.76,Twitch,94.3
13508,165.220.79.76,WhatsApp,353.9
13509,118.97.205.254,Facebook Messenger,197.3
13510,118.97.205.254,Pinterest,125.6
13511,118.97.205.254,Instagram,189.9
13512,118.97.205.254,Facebook,157.7
13513,61.172.12.4,Snapchat,299.2
13514,61.172.12.4,Facebook Messenger,182.5
13515,61.172.12.4,Pinterest,104.2
13516,61.172.12.4,TikTok,218.7
13517,59.36.160.161,X,100.3
13518,59.36.160.161,Facebook,184.2
13519,198.247.179.17,Facebook Messenger,218.6
13520,198.247.179.17,Twitch,102.5
13521,198.247.179.17,WeChat,102.8
13522,198.247.179.17,WhatsApp,428.3
13523,198.247.179.17,Snapchat,98.4
13524,198.247.179.17,LinkedIn,107.1
13525,216.150.119.197,Facebook Messenger,163.3
13526,216.150.119.197,QQ,46.6
13527,171.96.26.218,TikTok,265.3
13528,171.96.26.218,Instagram,252.6
13529,171.96.26.218,YouTube,536.8
13530,171.96.26.218,Snapchat,278.8
13531,171.96.26.218,X,121.4
13532,171.96.26.218,Facebook,123.4
13533,12.254.31.36,Facebook,114.9
13534,12.254.31.36,X,137.8
13535,12.254.31.36,WhatsApp,364.2
13536,12.254.31.36,Pinterest,97.3
13537,12.254.31.36,LinkedIn,103.8
13538,12.254.31.36,QQ,43.2
13539,12.254.31.36,WeChat,99.5
13540,12.254.31.36,Instagram,267.7
13541,144.20.76.213,Facebook Messenger,140.3
13542,144.20.76.213,QQ,49.0
13543,144.20.76.213,Snapchat,250.0
13544,205.74.190.228,Instagram,363.3
13545,205.74.190.228,QQ,73.6
13546,205.74.190.228,Facebook,117.0
13547,205.74.190.228,WhatsApp,352.0
13548,205.74.190.228,WeChat,147.0
13549,205.74.190.228,Twitch,40.6
13550,205.74.190.228,Facebook Messenger,119.9
13551,205.74.190.228,LinkedIn,210.7
13552,134.54.211.228,LinkedIn,138.8
13553,134.54.211.228,Twitch,106.1
13554,134.54.211.228,QQ,60.0
13555,134.54.211.228,Pinterest,93.8
13556,134.54.211.228,Facebook Messenger,148.3
13557,94.197.66.181,Twitch,88.4
13558,94.197.66.181,QQ,61.5
13559,94.197.66.181,YouTube,551.8
13560,94.197.66.181,Pinterest,125.2
13561,43.222.195.245,QQ,40.2
13562,43.222.195.245,X,155.1
13563,43.222.195.245,Facebook,144.4
13564,43.222.195.245,WeChat,113.5
13565,43.222.195.245,YouTube,401.9
13566,43.222.195.245,TikTok,364.6
13567,239.184.170.184,Twitch,100.9
13568,239.184.170.184,Snapchat,331.1
13569,239.184.170.184,WhatsApp,392.0
13570,239.184.170.184,LinkedIn,221.3
13571,239.184.170.184,Facebook,83.0
13572,239.184.170.184,TikTok,212.5
13573,239.184.170.184,X,154.3
13574,239.184.170.184,Facebook Messenger,137.3
13575,46.17.122.173,Snapchat,324.8
13576,46.17.122.173,QQ,58.3
13577,142.100.113.202,QQ,37.4
13578,142.100.113.202,Twitch,96.8
13579,142.100.113.202,LinkedIn,174.2
13580,142.100.113.202,TikTok,361.9
13581,142.100.113.202,YouTube,322.5
13582,92.242.158.219,Instagram,440.7
13583,92.242.158.219,YouTube,394.3
13584,92.242.158.219,WhatsApp,284.1
13585,92.242.158.219,TikTok,352.3
13586,92.242.158.219,Facebook Messenger,179.9
13587,92.242.158.219,QQ,29.4
13588,92.242.158.219,Pinterest,74.0
13589,92.242.158.219,Snapchat,289.8
13590,87.143.45.69,Snapchat,276.1
13591,87.143.45.69,WhatsApp,399.0
13592,87.143.45.69,LinkedIn,118.7
13593,87.143.45.69,TikTok,488.2
13594,87.143.45.69,Twitch,76.3
13595,87.143.45.69,WeChat,138.6
13596,161.24.107.82,TikTok,431.6
13597,161.24.107.82,QQ,51.0
13598,161.24.107.82,YouTube,758.1
13599,161.24.107.82,WhatsApp,320.1
13600,161.24.107.82,Snapchat,264.6
13601,161.24.107.82,X,171.2
13602,161.24.107.82,Facebook Messenger,128.5
13603,216.233.58.131,YouTube,716.0
13604,216.233.58.131,Twitch,51.6
13605,216.233.58.131,QQ,52.7
13606,216.233.58.131,Facebook,149.7
13607,216.233.58.131,TikTok,367.4
13608,216.233.58.131,Facebook Messenger,123.1
13609,153.124.14.125,TikTok,225.2
13610,153.124.14.125,Twitch,95.9
13611,153.124.14.125,WhatsApp,338.1
13612,153.124.14.125,Snapchat,232.3
13613,153.124.14.125,X,125.4
13614,153.124.14.125,Pinterest,62.2
13615,153.124.14.125,Instagram,312.5
13616,153.124.14.125,WeChat,73.0
13617,240.186.64.60,Twitch,84.5
13618,240.186.64.60,Pinterest,81.1
13619,240.186.64.60,Snapchat,288.5
13620,240.186.64.60,Facebook,107.6
13621,240.186.64.60,WeChat,62.9
13622,119.121.255.95,TikTok,323.6
13623,119.121.255.95,LinkedIn,45.2
13624,119.121.255.95,Facebook Messenger,135.5
13625,119.121.255.95,Twitch,117.5
13626,119.121.255.95,WeChat,116.0
13627,119.121.255.95,YouTube,504.0
13628,119.121.255.95,QQ,75.1
13629,47.121.162.128,Facebook,144.7
13630,47.121.162.128,Instagram,274.9
13631,47.121.162.128,TikTok,306.5
13632,47.121.162.128,QQ,42.0
13633,47.121.162.128,Facebook Messenger,159.5
13634,47.121.162.128,Pinterest,105.4
13635,47.121.162.128,Twitch,93.5
13636,1.157.25.181,Instagram,285.3
13637,1.157.25.181,YouTube,518.6
13638,1.157.25.181,Pinterest,128.8
13639,99.37.32.100,WhatsApp,297.2
13640,99.37.32.100,QQ,38.1
13641,124.42.181.29,WeChat,64.3
13642,124.42.181.29,WhatsApp,432.7
13643,124.42.181.29,Facebook Messenger,160.2
13644,124.42.181.29,YouTube,529.7
13645,124.42.181.29,X,119.2
13646,124.42.181.29,LinkedIn,153.1
13647,124.42.181.29,Facebook,159.4
13648,98.76.133.123,WeChat,155.6
13649,98.76.133.123,YouTube,580.0
13650,98.76.133.123,Instagram,389.8
13651,98.76.133.123,QQ,56.6
13652,98.76.133.123,X,154.4
13653,98.76.133.123,Facebook Messenger,141.0
13654,98.76.133.123,LinkedIn,184.4
13655,212.11.183.240,Twitch,96.3
13656,212.11.183.240,QQ,45.9
13657,152.29.92.69,YouTube,456.2
13658,152.29.92.69,Twitch,79.6
13659,102.219.147.185,Facebook,200.6
13660,102.219.147.185,Snapchat,138.1
13661,158.75.123.9,LinkedIn,166.6
13662,158.75.123.9,X,175.8
13663,68.16.2.231,Twitch,107.1
13664,122.50.230.184,LinkedIn,175.5
13665,122.50.230.184,QQ,71.5
13666,122.50.230.184,WhatsApp,164.8
13667,122.50.230.184,Instagram,332.3
13668,122.50.230.184,YouTube,630.4
13669,122.50.230.184,WeChat,91.8
13670,235.203.188.175,Twitch,96.8
13671,235.203.188.175,Pinterest,99.9
13672,235.203.188.175,WeChat,145.8
13673,235.203.188.175,Facebook Messenger,167.9
13674,75.150.48.103,Facebook Messenger,142.4
